seri_no,ram_gb,kamera_mp,ekran_boyutu,batarya_mah,storage_gb,cihaz_fiyat,cikis_yili,cihaz_durum_puan,segment_puan,cihaz_model
10,6.0,12.0,6.1,3279.0,256.0,40399,2022.0,2,2,14.0
8,6.0,12.0,6.7,3687.0,256.0,40499,2020.0,4,5,12.0
10,6.0,12.0,6.1,3279.0,128.0,40699,2022.0,3,2,14.0
10,6.0,12.0,6.1,3279.0,128.0,40999,2022.0,4,2,14.0
8,6.0,12.0,6.7,3687.0,512.0,41249,2020.0,2,5,12.0
8,6.0,12.0,6.7,3687.0,512.0,41999,2020.0,2,5,12.0
10,6.0,12.0,6.7,4325.0,128.0,42099,2022.0,1,3,14.0
10,6.0,12.0,6.7,4325.0,128.0,42399,2022.0,2,3,14.0
10,6.0,12.0,6.7,4325.0,128.0,43699,2022.0,3,3,14.0
10,6.0,12.0,6.7,4325.0,128.0,43999,2022.0,4,3,14.0
10,6.0,12.0,6.1,3279.0,256.0,44099,2022.0,1,2,14.0
10,6.0,12.0,6.1,3279.0,256.0,44399,2022.0,2,2,14.0
10,6.0,12.0,6.7,4325.0,256.0,44399,2022.0,2,3,14.0
10,6.0,12.0,6.1,3279.0,256.0,44699,2022.0,3,2,14.0
10,6.0,12.0,6.1,3279.0,256.0,44999,2022.0,4,2,14.0
10,6.0,12.0,6.7,4325.0,256.0,45699,2022.0,3,3,14.0
9,6.0,12.0,6.1,3095.0,128.0,47399,2021.0,2,4,13.0
11,6.0,48.0,6.1,3349.0,128.0,47599,2023.0,1,2,15.0
11,6.0,48.0,6.1,3349.0,128.0,47899,2023.0,2,2,15.0
9,6.0,12.0,6.1,3095.0,128.0,48099,2021.0,1,4,13.0
11,6.0,48.0,6.1,3349.0,128.0,48199,2023.0,3,2,15.0
9,6.0,12.0,6.1,3095.0,128.0,48399,2021.0,2,4,13.0
11,6.0,48.0,6.1,3349.0,128.0,48499,2023.0,4,2,15.0
9,6.0,12.0,6.1,3095.0,128.0,48699,2021.0,3,4,13.0
10,6.0,12.0,6.1,3279.0,512.0,48699,2022.0,3,2,14.0
9,6.0,12.0,6.1,3095.0,128.0,48999,2021.0,4,4,13.0
10,6.0,12.0,6.1,3279.0,512.0,48999,2022.0,4,2,14.0
9,6.0,12.0,6.7,4352.0,128.0,49499,2021.0,1,5,13.0
9,6.0,12.0,6.1,3095.0,128.0,49699,2021.0,3,4,13.0
9,6.0,12.0,6.1,3095.0,128.0,49999,2021.0,4,4,13.0
9,6.0,12.0,6.1,3095.0,256.0,50399,2021.0,2,4,13.0
9,6.0,12.0,6.1,3095.0,256.0,50999,2021.0,4,4,13.0
9,6.0,12.0,6.1,3095.0,256.0,50999,2021.0,1,4,13.0
9,6.0,12.0,6.1,3095.0,512.0,51599,2021.0,1,4,13.0
9,6.0,12.0,6.1,3095.0,256.0,51699,2021.0,3,4,13.0
9,6.0,12.0,6.1,3095.0,512.0,51899,2021.0,2,4,13.0
9,6.0,12.0,6.1,3095.0,256.0,51999,2021.0,4,4,13.0
9,6.0,12.0,6.7,4352.0,128.0,52399,2021.0,2,5,13.0
9,6.0,12.0,6.7,4352.0,128.0,53099,2021.0,1,5,13.0
